image_name,dataset_name,model_name,dice_score
cropped_br3_image22prime.png,binrushed,globalVal_weighted_FedAvg,0.9892735481262208
cropped_br2_image38prime.png,binrushed,globalVal_weighted_FedAvg,0.9745357036590576
cropped_br1_image12prime.png,binrushed,globalVal_weighted_FedAvg,0.9739527702331544
cropped_br2_image9prime.png,binrushed,globalVal_weighted_FedAvg,0.9844821691513062
cropped_br4_image50prime.png,binrushed,globalVal_weighted_FedAvg,0.983960211277008
cropped_br2_image17prime.png,binrushed,globalVal_weighted_FedAvg,0.9800851345062256
cropped_br1_image40prime.png,binrushed,globalVal_weighted_FedAvg,0.9733052849769592
cropped_br3_image37prime.png,binrushed,globalVal_weighted_FedAvg,0.9874143600463868
cropped_br3_image41prime.png,binrushed,globalVal_weighted_FedAvg,0.9880244135856628
cropped_br1_image6prime.png,binrushed,globalVal_weighted_FedAvg,0.978458821773529
cropped_br1_image31prime.png,binrushed,globalVal_weighted_FedAvg,0.980143129825592
cropped_br4_image24prime.png,binrushed,globalVal_weighted_FedAvg,0.9825451970100404
cropped_br4_image31prime.png,binrushed,globalVal_weighted_FedAvg,0.9766185879707336
cropped_br2_image44prime.png,binrushed,globalVal_weighted_FedAvg,0.9871944189071656
cropped_br1_image27prime.png,binrushed,globalVal_weighted_FedAvg,0.9778531193733216
cropped_br4_image40prime.png,binrushed,globalVal_weighted_FedAvg,0.9724043607711792
cropped_br1_image17prime.png,binrushed,globalVal_weighted_FedAvg,0.971540093421936
cropped_br1_image20prime.png,binrushed,globalVal_weighted_FedAvg,0.9869834184646606
cropped_br4_image7prime.png,binrushed,globalVal_weighted_FedAvg,0.9764028191566468
cropped_br2_image36prime.png,binrushed,globalVal_weighted_FedAvg,0.9702932238578796
cropped_br3_image22prime.png,binrushed,globalVal,0.9890784621238708
cropped_br2_image38prime.png,binrushed,globalVal,0.97932231426239
cropped_br1_image12prime.png,binrushed,globalVal,0.9763507843017578
cropped_br2_image9prime.png,binrushed,globalVal,0.9854953289031982
cropped_br4_image50prime.png,binrushed,globalVal,0.9849187135696412
cropped_br2_image17prime.png,binrushed,globalVal,0.9788507223129272
