image_name,dataset_name,model_name,dice_score
cropped_magrabi_male_image33prime.png,magrabi,sk_messidor,0.9769278168678284
cropped_magrabi_female_image5prime.png,magrabi,sk_origa,0.985777735710144
cropped_magrabi_male_image10prime.png,magrabi,sk_origa,0.9811787605285645
cropped_magrabi_male_image15prime.png,magrabi,sk_origa,0.9663525819778442
cropped_magrabi_female_image11prime.png,magrabi,sk_origa,0.9861571192741394
cropped_magrabi_female_image44prime.png,magrabi,sk_origa,0.98859965801239
cropped_magrabi_male_image24prime.png,magrabi,sk_origa,0.9831903576850892
cropped_magrabi_male_image40prime.png,magrabi,sk_origa,0.973139762878418
cropped_magrabi_male_image37prime.png,magrabi,sk_origa,0.9811429977416992
cropped_magrabi_female_image36prime.png,magrabi,sk_origa,0.9792335629463196
cropped_magrabi_male_image33prime.png,magrabi,sk_origa,0.9627370834350586
cropped_magrabi_female_image5prime.png,magrabi,sk_refuge,0.988853633403778
cropped_magrabi_male_image10prime.png,magrabi,sk_refuge,0.9807137250900269
cropped_magrabi_male_image15prime.png,magrabi,sk_refuge,0.9710243940353394
cropped_magrabi_female_image11prime.png,magrabi,sk_refuge,0.9877484440803528
cropped_magrabi_female_image44prime.png,magrabi,sk_refuge,0.988917112350464
cropped_magrabi_male_image24prime.png,magrabi,sk_refuge,0.9860497713088988
cropped_magrabi_male_image40prime.png,magrabi,sk_refuge,0.971933901309967
cropped_magrabi_male_image37prime.png,magrabi,sk_refuge,0.9849637746810912
cropped_magrabi_female_image36prime.png,magrabi,sk_refuge,0.9808031916618348
cropped_magrabi_male_image33prime.png,magrabi,sk_refuge,0.9653348922729492
cropped_magrabi_female_image5prime.png,magrabi,sk_rimone,0.9812784790992736
cropped_magrabi_male_image10prime.png,magrabi,sk_rimone,0.9839337468147278
cropped_magrabi_male_image15prime.png,magrabi,sk_rimone,0.9758775234222412
cropped_magrabi_female_image11prime.png,magrabi,sk_rimone,0.988206386566162
cropped_magrabi_female_image44prime.png,magrabi,sk_rimone,0.9878315329551696
cropped_magrabi_male_image24prime.png,magrabi,sk_rimone,0.9877144694328308
cropped_magrabi_male_image40prime.png,magrabi,sk_rimone,0.981805682182312
cropped_magrabi_male_image37prime.png,magrabi,sk_rimone,0.986414074897766
cropped_magrabi_female_image36prime.png,magrabi,sk_rimone,0.9783033728599548
cropped_magrabi_male_image33prime.png,magrabi,sk_rimone,0.9678413271903992
cropped_magrabi_female_image5prime.png,magrabi,central_baseline,0.9905568361282348
cropped_magrabi_male_image10prime.png,magrabi,central_baseline,0.9866992235183716
cropped_magrabi_male_image15prime.png,magrabi,central_baseline,0.973724365234375
cropped_magrabi_female_image11prime.png,magrabi,central_baseline,0.9892178177833556
cropped_magrabi_female_image44prime.png,magrabi,central_baseline,0.9898706674575806
cropped_magrabi_male_image24prime.png,magrabi,central_baseline,0.989577293395996
cropped_magrabi_male_image40prime.png,magrabi,central_baseline,0.9838063716888428
cropped_magrabi_male_image37prime.png,magrabi,central_baseline,0.9877490997314452
cropped_magrabi_female_image36prime.png,magrabi,central_baseline,0.980360209941864
