Model_A,Model_B,Mean_A,Mean_B,Median_A,Median_B,Std_A,Std_B,Wilcoxon_Stat,Raw_p,Corrected_p,Reject_Null,Better_Model,Significant_Winner
binrushed_fl_finetuned,central_baseline,0.7507512143364659,0.9182126146775705,0.7766212224960327,0.9305302500724792,0.1141969061085903,0.04380043047804354,6.0,7.677036448650462e-24,1.773395419638257e-21,True,central_baseline,central_baseline
binrushed_fl_finetuned,chaksu_fl_finetuned,0.7507512143364659,0.9172099109049197,0.7766212224960327,0.9295377731323242,0.1141969061085903,0.04120958390622148,2.0,7.020918641663164e-24,1.6218322062241908e-21,True,chaksu_fl_finetuned,chaksu_fl_finetuned
binrushed_fl_finetuned,drishti_fl_finetuned,0.7507512143364659,0.8971454554133945,0.7766212224960327,0.9087657332420348,0.1141969061085903,0.0536420050049873,182.0,3.6267133709867937e-22,8.377707886979494e-20,True,drishti_fl_finetuned,drishti_fl_finetuned
binrushed_fl_finetuned,g1020_fl_finetuned,0.7507512143364659,0.6962121577174575,0.7766212224960327,0.7384054660797119,0.1141969061085903,0.18079909261157676,1824.0,1.240901082522693e-09,2.8664815006274206e-07,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,globalVal,0.7507512143364659,0.8710857700418543,0.7766212224960327,0.8809926509857178,0.1141969061085903,0.06423302023158438,7.0,7.850337527057907e-24,1.8134279687503765e-21,True,globalVal,globalVal
binrushed_fl_finetuned,globalVal_weighted_FedAvg,0.7507512143364659,0.8927178758162039,0.7766212224960327,0.9025549292564392,0.1141969061085903,0.05906457482653999,0.0,6.714004954037857e-24,1.5509351443827448e-21,True,globalVal_weighted_FedAvg,globalVal_weighted_FedAvg
binrushed_fl_finetuned,magrabi_fl_finetuned,0.7507512143364659,0.8215589792640121,0.7766212224960327,0.8257290124893188,0.1141969061085903,0.08479252853955613,1.0,6.86576345373487e-24,1.5859913578127548e-21,True,magrabi_fl_finetuned,magrabi_fl_finetuned
binrushed_fl_finetuned,messidor_fl_finetuned,0.7507512143364659,0.8232722763661985,0.7766212224960327,0.8332979083061218,0.1141969061085903,0.07019246135476712,238.0,1.1988849576250897e-21,2.7694242521139573e-19,True,messidor_fl_finetuned,messidor_fl_finetuned
binrushed_fl_finetuned,origa_fl_finetuned,0.7507512143364659,0.8927444184267962,0.7766212224960327,0.9019185900688172,0.1141969061085903,0.05371864230595992,8.0,8.027512336108847e-24,1.8543553496411434e-21,True,origa_fl_finetuned,origa_fl_finetuned
binrushed_fl_finetuned,refuge_fl_finetuned,0.7507512143364659,0.8196489453315735,0.7766212224960327,0.8278301358222961,0.1141969061085903,0.08309243796799172,763.0,4.274820643918807e-17,9.874835687452443e-15,True,refuge_fl_finetuned,refuge_fl_finetuned
binrushed_fl_finetuned,rimone_fl_finetuned,0.7507512143364659,0.6660558550446122,0.7766212224960327,0.6996120810508728,0.1141969061085903,0.1499657841231456,575.0,1.165203082427814e-18,2.69161912040825e-16,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,sk_binrushed,0.7507512143364659,0.6822391656089436,0.7766212224960327,0.7348801493644714,0.1141969061085903,0.2020338107158177,2815.0,9.684258951775924e-05,0.022370638178602385,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,sk_chaksu,0.7507512143364659,0.9177435049304256,0.7766212224960327,0.9258022308349608,0.1141969061085903,0.04175655074244767,10.0,8.393827880055746e-24,1.9389742402928776e-21,True,sk_chaksu,sk_chaksu
binrushed_fl_finetuned,sk_drishti,0.7507512143364659,0.7118546564677403,0.7766212224960327,0.809222400188446,0.1141969061085903,0.2747493025193572,4158.0,0.34272933472719525,1.0,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,sk_g1020,0.7507512143364659,0.7352743062708113,0.7766212224960327,0.7527539134025574,0.1141969061085903,0.12294829247054706,3721.0,0.056319672818846665,1.0,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,sk_magrabi,0.7507512143364659,0.4254394560104292,0.7766212224960327,0.5116034746170044,0.1141969061085903,0.32964094247691916,388.0,2.739277605685089e-20,6.327731269132555e-18,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,sk_messidor,0.7507512143364659,0.802047610172519,0.7766212224960327,0.8168846368789673,0.1141969061085903,0.0986770148721199,921.0,1.2622557424738853e-15,2.915810765114675e-13,True,sk_messidor,sk_messidor
binrushed_fl_finetuned,sk_origa,0.7507512143364659,0.8815074496799045,0.7766212224960327,0.8949087858200073,0.1141969061085903,0.06326675952911788,15.0,9.383642139878062e-24,2.1676213343118323e-21,True,sk_origa,sk_origa
binrushed_fl_finetuned,sk_refuge,0.7507512143364659,0.828174955756576,0.7766212224960327,0.8429877758026123,0.1141969061085903,0.08271366777997421,659.0,5.949450972316775e-18,1.3743231746051752e-15,True,sk_refuge,sk_refuge
