Model_A,Model_B,Mean_A,Mean_B,Median_A,Median_B,Std_A,Std_B,Wilcoxon_Stat,Raw_p,Corrected_p,Reject_Null,Better_Model,Significant_Winner
binrushed_fl_finetuned,central_baseline,0.7557125684558129,0.7940522949306332,0.8173043727874756,0.8448238372802734,0.19068984791562596,0.2242433008058872,247.0,0.00016722716564743223,0.038629475264556845,True,central_baseline,central_baseline
binrushed_fl_finetuned,chaksu_fl_finetuned,0.7557125684558129,0.6755293061842724,0.8173043727874756,0.7522028684616089,0.19068984791562596,0.23350581527830647,78.0,2.3795152515049267e-09,5.496680230976381e-07,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,drishti_fl_finetuned,0.7557125684558129,0.6759139950178108,0.8173043727874756,0.7053263783454895,0.19068984791562596,0.20850044352204744,108.0,3.486130850660629e-08,8.052962265026054e-06,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,g1020_fl_finetuned,0.7557125684558129,0.7463570632496659,0.8173043727874756,0.8346475958824158,0.19068984791562596,0.23671737952258146,565.0,0.6429659677266777,1.0,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,globalVal,0.7557125684558129,0.7224163505799917,0.8173043727874756,0.8046557903289795,0.19068984791562596,0.22178384484988112,288.0,0.000948836474645276,0.21918122564305875,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,globalVal_weighted_FedAvg,0.7557125684558129,0.7294930952544115,0.8173043727874756,0.7840564250946045,0.19068984791562596,0.20923927311763302,242.0,0.00013283084820514546,0.0306839259353886,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,magrabi_fl_finetuned,0.7557125684558129,0.7391720662007526,0.8173043727874756,0.8085505366325378,0.19068984791562596,0.2088153320346939,372.0,0.016027738565448146,1.0,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,messidor_fl_finetuned,0.7557125684558129,0.7279775081848612,0.8173043727874756,0.8040348291397095,0.19068984791562596,0.21693971552604288,293.0,0.001152311848784393,0.2661840370691948,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,origa_fl_finetuned,0.7557125684558129,0.686150597674506,0.8173043727874756,0.7749252915382385,0.19068984791562596,0.23877832260549428,148.0,6.822769940129092e-07,0.00015760598561698203,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,refuge_fl_finetuned,0.7557125684558129,0.7381302499953581,0.8173043727874756,0.806053638458252,0.19068984791562596,0.20429423697384666,352.0,0.008852824029862205,1.0,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,rimone_fl_finetuned,0.7557125684558129,0.8232712931170756,0.8173043727874756,0.8858442902565002,0.19068984791562596,0.17450173144765577,155.0,1.0872382176785322e-06,0.00025115202828374095,True,rimone_fl_finetuned,rimone_fl_finetuned
binrushed_fl_finetuned,sk_binrushed,0.7557125684558129,0.7046270507330797,0.8173043727874756,0.7282171845436096,0.19068984791562596,0.18150979021226374,297.0,0.0013426407861949485,0.3101500216110331,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,sk_chaksu,0.7557125684558129,0.6553859532791741,0.8173043727874756,0.7323518395423889,0.19068984791562596,0.2443439720292385,44.0,5.261213686935662e-11,1.2153403616821379e-08,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,sk_drishti,0.7557125684558129,0.5460703746244615,0.8173043727874756,0.6152306199073792,0.19068984791562596,0.27171158872631307,31.0,8.43769498715119e-12,1.949107542031925e-09,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,sk_g1020,0.7557125684558129,0.7177636702449954,0.8173043727874756,0.753262996673584,0.19068984791562596,0.19148152649027186,355.0,0.00970598363425168,1.0,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,sk_magrabi,0.7557125684558129,0.7113934724914784,0.8173043727874756,0.7299122214317322,0.19068984791562596,0.17425351410522785,290.0,0.0010259586218275274,0.23699644164215883,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,sk_messidor,0.7557125684558129,0.7262235116593692,0.8173043727874756,0.7712478041648865,0.19068984791562596,0.19268325329503172,297.0,0.0013426407861949485,0.3101500216110331,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,sk_origa,0.7557125684558129,0.691372738656949,0.8173043727874756,0.7608796954154968,0.19068984791562596,0.22495073095609666,102.0,2.1141183026429644e-08,4.883613279105248e-06,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,sk_refuge,0.7557125684558129,0.7227272132829744,0.8173043727874756,0.7787206172943115,0.19068984791562596,0.20426151984410845,208.0,2.460843699836346e-05,0.005684548946621959,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,sk_rimone,0.7557125684558129,0.8150403846283348,0.8173043727874756,0.8755049109458923,0.19068984791562596,0.18147869870678876,224.0,5.589757228818826e-05,0.012912339198571487,True,sk_rimone,sk_rimone
binrushed_fl_finetuned,unweightedglobalevalwithlocaltraining,0.7557125684558129,0.7375614644617451,0.8173043727874756,0.808386504650116,0.19068984791562596,0.21162325043132557,356.0,0.010005901957622854,1.0,False,binrushed_fl_finetuned,None
central_baseline,chaksu_fl_finetuned,0.7940522949306332,0.6755293061842724,0.8448238372802734,0.7522028684616089,0.2242433008058872,0.23350581527830647,160.0,1.5036543068447372e-06,0.0003473441448811343,True,central_baseline,central_baseline
central_baseline,drishti_fl_finetuned,0.7940522949306332,0.6759139950178108,0.8448238372802734,0.7053263783454895,0.2242433008058872,0.20850044352204744,175.0,3.8210072403899176e-06,0.000882652672530071,True,central_baseline,central_baseline
central_baseline,g1020_fl_finetuned,0.7940522949306332,0.7463570632496659,0.8448238372802734,0.8346475958824158,0.2242433008058872,0.23671737952258146,219.0,0.0002613792031553651,0.060378595928889334,False,central_baseline,None
central_baseline,globalVal,0.7940522949306332,0.7224163505799917,0.8448238372802734,0.8046557903289795,0.2242433008058872,0.22178384484988112,221.0,4.810921605624685e-05,0.011113228908993023,True,central_baseline,central_baseline
central_baseline,globalVal_weighted_FedAvg,0.7940522949306332,0.7294930952544115,0.8448238372802734,0.7840564250946045,0.2242433008058872,0.20923927311763302,183.0,6.1398203889950764e-06,0.0014182985098578627,True,central_baseline,central_baseline
central_baseline,magrabi_fl_finetuned,0.7940522949306332,0.7391720662007526,0.8448238372802734,0.8085505366325378,0.2242433008058872,0.2088153320346939,235.0,9.55255321741788e-05,0.022066397932235304,True,central_baseline,central_baseline
central_baseline,messidor_fl_finetuned,0.7940522949306332,0.7279775081848612,0.8448238372802734,0.8040348291397095,0.2242433008058872,0.21693971552604288,218.0,4.133498375580302e-05,0.009548381247590498,True,central_baseline,central_baseline
central_baseline,origa_fl_finetuned,0.7940522949306332,0.686150597674506,0.8448238372802734,0.7749252915382385,0.2242433008058872,0.23877832260549428,191.0,9.718502990807565e-06,0.0022449741908765475,True,central_baseline,central_baseline
central_baseline,refuge_fl_finetuned,0.7940522949306332,0.7381302499953581,0.8448238372802734,0.806053638458252,0.2242433008058872,0.20429423697384666,193.0,1.087616788808532e-05,0.002512394782147709,True,central_baseline,central_baseline
central_baseline,rimone_fl_finetuned,0.7940522949306332,0.8232712931170756,0.8448238372802734,0.8858442902565002,0.2242433008058872,0.17450173144765577,480.0,0.19092828477869617,1.0,False,rimone_fl_finetuned,None
central_baseline,sk_binrushed,0.7940522949306332,0.7046270507330797,0.8448238372802734,0.7282171845436096,0.2242433008058872,0.18150979021226374,178.0,4.573050645717558e-06,0.0010563746991607559,True,central_baseline,central_baseline
central_baseline,sk_chaksu,0.7940522949306332,0.6553859532791741,0.8448238372802734,0.7323518395423889,0.2242433008058872,0.2443439720292385,153.0,9.530985529693226e-07,0.0002201657657359135,True,central_baseline,central_baseline
central_baseline,sk_drishti,0.7940522949306332,0.5460703746244615,0.8448238372802734,0.6152306199073792,0.2242433008058872,0.27171158872631307,82.0,3.503970447127358e-09,8.094171732864197e-07,True,central_baseline,central_baseline
central_baseline,sk_g1020,0.7940522949306332,0.7177636702449954,0.8448238372802734,0.753262996673584,0.2242433008058872,0.19148152649027186,166.0,2.198966985389461e-06,0.0005079613736249655,True,central_baseline,central_baseline
central_baseline,sk_magrabi,0.7940522949306332,0.7113934724914784,0.8448238372802734,0.7299122214317322,0.2242433008058872,0.17425351410522785,176.0,4.057828299153243e-06,0.0009373583371043992,True,central_baseline,central_baseline
central_baseline,sk_messidor,0.7940522949306332,0.7262235116593692,0.8448238372802734,0.7712478041648865,0.2242433008058872,0.19268325329503172,209.0,2.5941689163033743e-05,0.005992530196660795,True,central_baseline,central_baseline
central_baseline,sk_origa,0.7940522949306332,0.691372738656949,0.8448238372802734,0.7608796954154968,0.2242433008058872,0.22495073095609666,170.0,2.818216941591345e-06,0.0006510081135076007,True,central_baseline,central_baseline
central_baseline,sk_refuge,0.7940522949306332,0.7227272132829744,0.8448238372802734,0.7787206172943115,0.2242433008058872,0.20426151984410845,171.0,2.996636634833294e-06,0.0006922230626464909,True,central_baseline,central_baseline
central_baseline,sk_rimone,0.7940522949306332,0.8150403846283348,0.8448238372802734,0.8755049109458923,0.2242433008058872,0.18147869870678876,556.0,0.5806243739629124,1.0,False,sk_rimone,None
central_baseline,unweightedglobalevalwithlocaltraining,0.7940522949306332,0.7375614644617451,0.8448238372802734,0.808386504650116,0.2242433008058872,0.21162325043132557,199.0,1.5164053490224205e-05,0.0035028963562417914,True,central_baseline,central_baseline
chaksu_fl_finetuned,drishti_fl_finetuned,0.6755293061842724,0.6759139950178108,0.7522028684616089,0.7053263783454895,0.23350581527830647,0.20850044352204744,603.0,0.9293119985947342,1.0,False,drishti_fl_finetuned,None
