Model_A,Model_B,Mean_A,Mean_B,Median_A,Median_B,Std_A,Std_B,Wilcoxon_Stat,Raw_p,Corrected_p,Reject_Null,Better_Model,Significant_Winner
binrushed_fl_finetuned,central_baseline,0.8391923610980694,0.8838437277537126,0.8807001113891602,0.8981266021728516,0.12306059697121548,0.08622860873629673,453.0,5.157055755650779e-05,0.011912798795553299,True,central_baseline,central_baseline
binrushed_fl_finetuned,chaksu_fl_finetuned,0.8391923610980694,0.8742266150621267,0.8807001113891602,0.8875812292098999,0.12306059697121548,0.07695096030301952,666.0,0.007896782954054117,1.0,False,chaksu_fl_finetuned,None
binrushed_fl_finetuned,drishti_fl_finetuned,0.8391923610980694,0.8658925492029924,0.8807001113891602,0.8912999033927917,0.12306059697121548,0.08977674059950604,771.0,0.04880592838542494,1.0,False,drishti_fl_finetuned,None
binrushed_fl_finetuned,g1020_fl_finetuned,0.8391923610980694,0.7899569474733793,0.8807001113891602,0.8135150074958801,0.12306059697121548,0.15392681077406437,183.0,6.142711623063854e-09,1.4189663849277502e-06,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,globalVal,0.8391923610980694,0.8789919527677389,0.8807001113891602,0.9072139859199524,0.12306059697121548,0.08772552421309612,378.0,5.665232281811452e-06,0.0013086686570984453,True,globalVal,globalVal
binrushed_fl_finetuned,globalVal_weighted_FedAvg,0.8391923610980694,0.8689387133488289,0.8807001113891602,0.896981418132782,0.12306059697121548,0.10724607957034633,309.0,6.05597501307337e-07,0.00013989302280199484,True,globalVal_weighted_FedAvg,globalVal_weighted_FedAvg
binrushed_fl_finetuned,magrabi_fl_finetuned,0.8391923610980694,0.8634790796499986,0.8807001113891602,0.8883394002914429,0.12306059697121548,0.09718168229470861,433.0,2.9267597515429983e-05,0.006760815026064326,True,magrabi_fl_finetuned,magrabi_fl_finetuned
binrushed_fl_finetuned,messidor_fl_finetuned,0.8391923610980694,0.8649920949569115,0.8807001113891602,0.8861683011054993,0.12306059697121548,0.08033935438407751,576.0,0.0011761751401292288,0.2716964573698518,False,messidor_fl_finetuned,None
binrushed_fl_finetuned,origa_fl_finetuned,0.8391923610980694,0.8845303723445306,0.8807001113891602,0.8983471989631653,0.12306059697121548,0.08215711208172417,519.0,0.00029793720871794556,0.06882349521384543,False,origa_fl_finetuned,None
binrushed_fl_finetuned,refuge_fl_finetuned,0.8391923610980694,0.846743768453598,0.8807001113891602,0.8725758194923401,0.12306059697121548,0.10928679619086458,885.0,0.22046203255692387,1.0,False,refuge_fl_finetuned,None
binrushed_fl_finetuned,rimone_fl_finetuned,0.8391923610980694,0.7841914747770016,0.8807001113891602,0.8333333134651184,0.12306059697121548,0.1447935994688561,280.0,2.231542390328209e-07,5.1548629216581624e-05,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,sk_binrushed,0.8391923610980694,0.8143687582932986,0.8807001113891602,0.8482711315155029,0.12306059697121548,0.11930673484302193,672.0,0.008864352387300592,1.0,False,binrushed_fl_finetuned,None
binrushed_fl_finetuned,sk_chaksu,0.8391923610980694,0.871024317924793,0.8807001113891602,0.887158215045929,0.12306059697121548,0.07642938490530979,739.0,0.02930188470954039,1.0,False,sk_chaksu,None
binrushed_fl_finetuned,sk_drishti,0.8391923610980694,0.7173871269592872,0.8807001113891602,0.7178322672843933,0.12306059697121548,0.12583805094944545,343.0,1.8677078138278375e-06,0.00043144050499423046,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,sk_g1020,0.8391923610980694,0.8009508247558887,0.8807001113891602,0.8325265645980835,0.12306059697121548,0.1518317002766274,351.0,2.4176275407782766e-06,0.000558471961919782,True,binrushed_fl_finetuned,binrushed_fl_finetuned
binrushed_fl_finetuned,sk_magrabi,0.8391923610980694,0.8549570835553683,0.8807001113891602,0.8733502626419067,0.12306059697121548,0.08458693370524421,864.0,0.17302938407899915,1.0,False,sk_magrabi,None
binrushed_fl_finetuned,sk_messidor,0.8391923610980694,0.8512460332650404,0.8807001113891602,0.877596378326416,0.12306059697121548,0.09121753234194825,897.0,0.2514307083038029,1.0,False,sk_messidor,None
binrushed_fl_finetuned,sk_origa,0.8391923610980694,0.8845010248514322,0.8807001113891602,0.8989505767822266,0.12306059697121548,0.08184257901040018,406.0,1.3274246941850974e-05,0.003066351043567575,True,sk_origa,sk_origa
