image_name,dataset_name,model_name,dice_score
cropped_br3_image22prime.png,binrushed,globalVal_weighted_FedAvg,0.748899519443512
cropped_br2_image38prime.png,binrushed,globalVal_weighted_FedAvg,0.9514791369438172
cropped_br1_image12prime.png,binrushed,globalVal_weighted_FedAvg,0.9136894345283508
cropped_br2_image9prime.png,binrushed,globalVal_weighted_FedAvg,0.8916872143745422
cropped_br4_image50prime.png,binrushed,globalVal_weighted_FedAvg,0.9212818145751952
cropped_br2_image17prime.png,binrushed,globalVal_weighted_FedAvg,0.9757866263389589
cropped_br1_image40prime.png,binrushed,globalVal_weighted_FedAvg,0.7045773863792419
cropped_br3_image37prime.png,binrushed,globalVal_weighted_FedAvg,0.9307330250740052
cropped_br3_image41prime.png,binrushed,globalVal_weighted_FedAvg,0.92686665058136
cropped_br1_image6prime.png,binrushed,globalVal_weighted_FedAvg,0.4368662238121032
cropped_br1_image31prime.png,binrushed,globalVal_weighted_FedAvg,0.9519540667533876
cropped_br4_image24prime.png,binrushed,globalVal_weighted_FedAvg,0.7563031911849976
cropped_br4_image31prime.png,binrushed,globalVal_weighted_FedAvg,0.9618726372718812
cropped_br2_image44prime.png,binrushed,globalVal_weighted_FedAvg,0.9230644702911376
cropped_br1_image27prime.png,binrushed,globalVal_weighted_FedAvg,0.8621147871017456
cropped_br4_image40prime.png,binrushed,globalVal_weighted_FedAvg,0.8007804155349731
cropped_br1_image17prime.png,binrushed,globalVal_weighted_FedAvg,0.9209677577018738
cropped_br1_image20prime.png,binrushed,globalVal_weighted_FedAvg,0.6550906896591187
cropped_br4_image7prime.png,binrushed,globalVal_weighted_FedAvg,0.8993626832962036
cropped_br2_image36prime.png,binrushed,globalVal_weighted_FedAvg,0.8297024965286255
cropped_br3_image22prime.png,binrushed,globalVal,0.7317519783973694
cropped_br2_image38prime.png,binrushed,globalVal,0.9595856070518494
cropped_br1_image12prime.png,binrushed,globalVal,0.9259778261184692
cropped_br2_image9prime.png,binrushed,globalVal,0.9075213670730592
cropped_br4_image50prime.png,binrushed,globalVal,0.943109691143036
cropped_br2_image17prime.png,binrushed,globalVal,0.9676024317741394
cropped_br1_image40prime.png,binrushed,globalVal,0.7007741928100586
cropped_br3_image37prime.png,binrushed,globalVal,0.9287269115447998
cropped_br3_image41prime.png,binrushed,globalVal,0.9202242493629456
cropped_br1_image6prime.png,binrushed,globalVal,0.5062079429626465
cropped_br1_image31prime.png,binrushed,globalVal,0.9526849389076232
